session,outer_fold,outer_train_cycle_ids,outer_test_cycle_ids,outer_train_cycle_count,outer_test_cycle_count,inner_fold_count,full_per_seed_inner_trainings,full_per_seed_inner_trainings_all_3_seeds,full_per_seed_outer_refits_all_3_seeds,full_per_seed_total_trainings_all_3_seeds,shared_selector_seed_inner_trainings,shared_selector_seed_outer_refits_all_3_seeds,shared_selector_seed_total_trainings,existing_candidate_outer_tasks_available,existing_outer_tasks_reusable_after_selection
626,1,"1,2,3,4,5,6,7",0,7,1,7,14,42,3,45,14,3,17,6,3
626,2,"0,2,3,4,5,6,7",1,7,1,7,14,42,3,45,14,3,17,6,3
626,3,"0,1,3,4,5,6,7",2,7,1,7,14,42,3,45,14,3,17,6,3
626,4,"0,1,2,4,5,6,7",3,7,1,7,14,42,3,45,14,3,17,6,3
626,5,"0,1,2,3,5,6,7",4,7,1,7,14,42,3,45,14,3,17,6,3
626,6,"0,1,2,3,4,6,7",5,7,1,7,14,42,3,45,14,3,17,6,3
626,7,"0,1,2,3,4,5,7",6,7,1,7,14,42,3,45,14,3,17,6,3
626,8,"0,1,2,3,4,5,6",7,7,1,7,14,42,3,45,14,3,17,6,3
628,1,"1,2,3,4,5,6,7",0,7,1,7,14,42,3,45,14,3,17,6,3
628,2,"0,2,3,4,5,6,7",1,7,1,7,14,42,3,45,14,3,17,6,3
628,3,"0,1,3,4,5,6,7",2,7,1,7,14,42,3,45,14,3,17,6,3
628,4,"0,1,2,4,5,6,7",3,7,1,7,14,42,3,45,14,3,17,6,3
628,5,"0,1,2,3,5,6,7",4,7,1,7,14,42,3,45,14,3,17,6,3
628,6,"0,1,2,3,4,6,7",5,7,1,7,14,42,3,45,14,3,17,6,3
628,7,"0,1,2,3,4,5,7",6,7,1,7,14,42,3,45,14,3,17,6,3
628,8,"0,1,2,3,4,5,6",7,7,1,7,14,42,3,45,14,3,17,6,3
708,1,"1,2,3,4,5",0,5,1,5,10,30,3,33,10,3,13,6,3
708,2,"0,2,3,4,5",1,5,1,5,10,30,3,33,10,3,13,6,3
708,3,"0,1,3,4,5",2,5,1,5,10,30,3,33,10,3,13,6,3
708,4,"0,1,2,4,5",3,5,1,5,10,30,3,33,10,3,13,6,3
708,5,"0,1,2,3,5",4,5,1,5,10,30,3,33,10,3,13,6,3
708,6,"0,1,2,3,4",5,5,1,5,10,30,3,33,10,3,13,6,3
709,1,"3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","0,1,2",19,3,10,20,60,3,63,20,3,23,6,3
709,2,"0,1,2,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21","3,4,5",19,3,10,20,60,3,63,20,3,23,6,3
709,3,"0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17,18,19,20,21","6,7",20,2,10,20,60,3,63,20,3,23,6,3
709,4,"0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17,18,19,20,21","8,9",20,2,10,20,60,3,63,20,3,23,6,3
709,5,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17,18,19,20,21","10,11",20,2,10,20,60,3,63,20,3,23,6,3
709,6,"0,1,2,3,4,5,6,7,8,9,10,11,14,15,16,17,18,19,20,21","12,13",20,2,10,20,60,3,63,20,3,23,6,3
709,7,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,21","14,15",20,2,10,20,60,3,63,20,3,23,6,3
709,8,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21","16,17",20,2,10,20,60,3,63,20,3,23,6,3
709,9,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,20,21","18,19",20,2,10,20,60,3,63,20,3,23,6,3
709,10,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19","20,21",20,2,10,20,60,3,63,20,3,23,6,3
710,1,"2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17","0,1",16,2,10,20,60,3,63,20,3,23,6,3
710,2,"0,1,4,5,6,7,8,9,10,11,12,13,14,15,16,17","2,3",16,2,10,20,60,3,63,20,3,23,6,3
710,3,"0,1,2,3,6,7,8,9,10,11,12,13,14,15,16,17","4,5",16,2,10,20,60,3,63,20,3,23,6,3
710,4,"0,1,2,3,4,5,8,9,10,11,12,13,14,15,16,17","6,7",16,2,10,20,60,3,63,20,3,23,6,3
710,5,"0,1,2,3,4,5,6,7,10,11,12,13,14,15,16,17","8,9",16,2,10,20,60,3,63,20,3,23,6,3
710,6,"0,1,2,3,4,5,6,7,8,9,12,13,14,15,16,17","10,11",16,2,10,20,60,3,63,20,3,23,6,3
710,7,"0,1,2,3,4,5,6,7,8,9,10,11,14,15,16,17","12,13",16,2,10,20,60,3,63,20,3,23,6,3
710,8,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,16,17","14,15",16,2,10,20,60,3,63,20,3,23,6,3
710,9,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,17",16,17,1,10,20,60,3,63,20,3,23,6,3
